# Coinbase — every documented endpoint, enumerated 2026-08-31
#
# Method and path read from each page's own `pageMetadata.openapi` field.
# derivatives-api and Deribit publish specs instead; those are listed from the spec.
# page<TAB>METHOD path

business-api/rest-api/invoicing/get-invoice	get /api/v1/invoices/{invoiceId}
business-api/rest-api/invoicing/list-invoices	get /api/v1/invoices
exchange-api/rest-api/accounts/get-all-account-profile	GET /accounts
exchange-api/rest-api/accounts/get-single-account-by-id	GET  /accounts/{account_id}
exchange-api/rest-api/accounts/get-single-account-hold	GET /accounts/{account_id}/holds
exchange-api/rest-api/accounts/get-single-account-ledger	GET /accounts/{account_id}/ledger
exchange-api/rest-api/accounts/get-single-account-transfer	GET /accounts/{account_id}/transfers
exchange-api/rest-api/address-book/add-addresses	POST /address-book
exchange-api/rest-api/address-book/delete-address	DELETE  /address-book/{id}
exchange-api/rest-api/address-book/get-address-book	GET /address-book
exchange-api/rest-api/address-book/get-counterparty-address-book	get /address-book/counterparty
exchange-api/rest-api/address-book/update-address-book	put /address-book/{id}
exchange-api/rest-api/coinbase-accounts/generate-crypto-address	POST /coinbase-accounts/{account_id}/addresses
exchange-api/rest-api/coinbase-accounts/get-all-coinbase-wallets	GET /coinbase-accounts
exchange-api/rest-api/conversions/convert-currency	POST /conversions
exchange-api/rest-api/conversions/get-a-conversion	GET /conversions/{conversion_id}
exchange-api/rest-api/conversions/get-all-conversions	GET /conversions
exchange-api/rest-api/conversions/get-conversion-fee-rates	GET /conversions/fees
exchange-api/rest-api/currencies/get-a-currency	GET /currencies/{currency_id}
exchange-api/rest-api/currencies/get-all-known-currencies	GET /currencies
exchange-api/rest-api/fees/get-fee	GET /fees
exchange-api/rest-api/futures/get-auto-loan-setting	GET /margin/auto-loan
exchange-api/rest-api/futures/get-usdc-conversion	GET /margin/usdc
exchange-api/rest-api/futures/set-auto-loan	POST  /margin/auto-loan
exchange-api/rest-api/futures/set-usdc-conversion	POST /margin/usdc
exchange-api/rest-api/loan/get-lending-overview	GET /loans/lending-overview
exchange-api/rest-api/loan/get-lending-overview-xm	GET /loans/lending-overview-xm
exchange-api/rest-api/loan/get-loan-preview-xm	GET /loans/loan-preview-xm
exchange-api/rest-api/loan/get-new-loan-preview	GET /loans/loan-preview
exchange-api/rest-api/loan/get-principal-repayment-preview	GET /loans/repayment-preview
exchange-api/rest-api/loan/get-repayment-preview-xm	GET /loans/repayment-preview-xm
exchange-api/rest-api/loan/list-interest-charges	GET /loans/interest/{loan_id}
exchange-api/rest-api/loan/list-interest-rate-history	GET /loans/interest/history/{loan_id}
exchange-api/rest-api/loan/list-interest-summaries	GET /loans/interest
exchange-api/rest-api/loan/list-loan-assets	GET /loans/assets
exchange-api/rest-api/loan/list-loans	GET /loans
exchange-api/rest-api/loan/list-new-loan-options	GET /loans
exchange-api/rest-api/loan/open-new-loan	POST /loans/open
exchange-api/rest-api/loan/repay-loan-interest	POST  /loans/repay-interest
exchange-api/rest-api/loan/repay-loan-principal	POST /loans/repay-principal
exchange-api/rest-api/orders/cancel-all-orders	DELETE /orders
exchange-api/rest-api/orders/cancel-an-order	DELETE /orders/{order_id}
exchange-api/rest-api/orders/create-new-order	POST /orders
exchange-api/rest-api/orders/get-all-fills	GET /fills
exchange-api/rest-api/orders/get-all-orders	GET /orders
exchange-api/rest-api/orders/get-single-order	GET /orders/{order_id}
exchange-api/rest-api/products/get-all-known-trading-pairs	GET /products
exchange-api/rest-api/products/get-all-product-volume	GET  /products/volume-summary
exchange-api/rest-api/products/get-product-book	GET /products/{product_id}/book
exchange-api/rest-api/products/get-product-candles	GET /products/{product_id}/candles
exchange-api/rest-api/products/get-product-stats	GET /products/{product_id}/stats
exchange-api/rest-api/products/get-product-ticker	GET /products/{product_id}/ticker
exchange-api/rest-api/products/get-product-trades	GET /products/{product_id}/trades
exchange-api/rest-api/products/get-single-product	GET /products/{product_id}
exchange-api/rest-api/profiles/create-profile	POST /profiles
exchange-api/rest-api/profiles/delete-profile	PUT /profiles/{profile_id}/deactivate
exchange-api/rest-api/profiles/get-profile-by-id	GET /profiles/{profile_id}
exchange-api/rest-api/profiles/get-profiles	GET /profiles
exchange-api/rest-api/profiles/rename-profile	PUT /profiles/{profile_id}
exchange-api/rest-api/profiles/transfer-funds-profile	POST /profiles/transfer
exchange-api/rest-api/reports/create-report	POST /reports
exchange-api/rest-api/reports/get-all-reports	GET /reports
exchange-api/rest-api/reports/get-report	GET /reports/{report_id}
